timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-09-26T11:25:17,routerllm_model_loading,b0492faf-c240-4c52-8ce6-cd6cedc0ff6f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.0104067921638489,5.896693172136588e-06,5.835959553981673e-06,45.0,31.054418310675924,20.0,6.326664518564939e-06,8.692229187090561e-06,2.8110797827442487e-06,1.782997348839975e-05,Italy,ITA,friuli venezia giulia,,,Linux-5.14.0-427.13.1.el9_4.x86_64-x86_64-with-glibc2.34,3.13.6,3.0.5,2,AMD EPYC 7542 32-Core Processor,1,1 x NVIDIA A100 80GB PCIe,13.7747,45.6482,21.3,machine,N,1.0
2025-09-26T11:25:32,routerllm_llm_inference,253b371f-2450-440f-8993-a2d0dcaeecd0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.818698968738316,0.0001938859187621,1.640501372232301e-05,45.00018850909091,116.37939713699896,20.0,0.0001414271940357,0.0003819753056291,6.285503322465552e-05,0.0005862575328895,Italy,ITA,friuli venezia giulia,,,Linux-5.14.0-427.13.1.el9_4.x86_64-x86_64-with-glibc2.34,3.13.6,3.0.5,2,AMD EPYC 7542 32-Core Processor,1,1 x NVIDIA A100 80GB PCIe,13.7747,45.6482,21.3,machine,N,1.0
2025-09-26T11:32:21,routerllm_router_inference,c768758b-c5d9-4648-adfc-26f3ee274263,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.171230524778366,8.092978846660307e-06,6.909808680226939e-06,45.0,38.31043804858162,20.0,8.333637099713087e-06,1.2435287771950245e-05,3.70201062824991e-06,2.447093549991324e-05,Italy,ITA,friuli venezia giulia,,,Linux-5.14.0-427.13.1.el9_4.x86_64-x86_64-with-glibc2.34,3.13.6,3.0.5,2,AMD EPYC 7542 32-Core Processor,1,1 x NVIDIA A100 80GB PCIe,13.7747,45.6482,21.3,machine,N,1.0
2025-09-26T11:32:54,routerllm_model_loading,94c159f6-f15d-408e-b720-37ffa5653a1d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,29.45325170457363,0.0003420835017829,1.161445619703172e-05,45.00028269,65.95861849515579,20.0,0.0003555519188607,0.0005207954166621,0.0001580188065767,0.0010343661420996,Italy,ITA,friuli venezia giulia,,,Linux-5.14.0-427.13.1.el9_4.x86_64-x86_64-with-glibc2.34,3.13.6,3.0.5,2,AMD EPYC 7542 32-Core Processor,1,1 x NVIDIA A100 80GB PCIe,13.7747,45.6482,21.3,machine,N,1.0
2025-09-26T11:33:04,routerllm_llm_inference,320896d7-d29b-40eb-9c13-1f358fd32018,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.2072619795799255,9.501529415067268e-05,1.530711841440641e-05,45.0001400625,106.95802761809156,20.0,7.128405974443404e-05,0.0001843354252173,3.168055359274149e-05,0.0002873000385545,Italy,ITA,friuli venezia giulia,,,Linux-5.14.0-427.13.1.el9_4.x86_64-x86_64-with-glibc2.34,3.13.6,3.0.5,2,AMD EPYC 7542 32-Core Processor,1,1 x NVIDIA A100 80GB PCIe,13.7747,45.6482,21.3,machine,N,1.0
2025-09-26T11:49:40,routerllm_router_inference,f04123cc-0035-4cc2-8c0b-21c91b9ff840,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.0132973864674568,4.9933722261172575e-06,4.927844769762095e-06,45.000000405,21.195387540296743,20.0,6.340537463568992e-06,5.941393624198099e-06,2.816649050348335e-06,1.5098580138115426e-05,Italy,ITA,friuli venezia giulia,,,Linux-5.14.0-427.13.1.el9_4.x86_64-x86_64-with-glibc2.34,3.13.6,3.0.5,2,AMD EPYC 7542 32-Core Processor,1,1 x NVIDIA A100 80GB PCIe,13.7747,45.6482,21.3,machine,N,1.0
2025-09-26T11:50:13,routerllm_model_loading,47c85258-7ada-4ea1-acf7-8c699c4bff45,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,29.65584702044725,0.0003396627040165,1.1453481796771856e-05,45.000449253000006,65.5355422127099,20.0,0.0003580308691244,0.0005098959634892,0.0001591194848426,0.0010270463174563,Italy,ITA,friuli venezia giulia,,,Linux-5.14.0-427.13.1.el9_4.x86_64-x86_64-with-glibc2.34,3.13.6,3.0.5,2,AMD EPYC 7542 32-Core Processor,1,1 x NVIDIA A100 80GB PCIe,13.7747,45.6482,21.3,machine,N,1.0
2025-09-26T11:57:17,routerllm_router_inference,de1660f8-daf1-4989-b8d5-f427565aaa81,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1804897151887417,8.106701098394675e-06,6.867235685402428e-06,45.000000405,37.70013774425284,20.0,8.439308154913359e-06,1.232417650953721e-05,3.7489431392815378e-06,2.4512427803732108e-05,Italy,ITA,friuli venezia giulia,,,Linux-5.14.0-427.13.1.el9_4.x86_64-x86_64-with-glibc2.34,3.13.6,3.0.5,2,AMD EPYC 7542 32-Core Processor,1,1 x NVIDIA A100 80GB PCIe,13.7747,45.6482,21.3,machine,N,1.0
2025-09-26T11:57:41,routerllm_model_loading,3992fc03-aaf1-4978-85a2-45efa91ff61a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,20.60452639311552,0.0002372255141753,1.1513271872854307e-05,45.00027189,65.55342703823824,20.0,0.0002449161764593,0.0003635411241589,0.0001088472131225,0.0007173045137408,Italy,ITA,friuli venezia giulia,,,Linux-5.14.0-427.13.1.el9_4.x86_64-x86_64-with-glibc2.34,3.13.6,3.0.5,2,AMD EPYC 7542 32-Core Processor,1,1 x NVIDIA A100 80GB PCIe,13.7747,45.6482,21.3,machine,N,1.0
2025-09-26T11:57:51,routerllm_llm_inference,109b7f7c-0451-4ac0-b5df-e962ed7f7d3d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.690193418413401,0.0001004264739435,1.501099709121968e-05,45.0003822525,103.43019591346948,20.0,7.727821808392759e-05,0.0001920395981187,3.434413731512096e-05,0.0003036619535178,Italy,ITA,friuli venezia giulia,,,Linux-5.14.0-427.13.1.el9_4.x86_64-x86_64-with-glibc2.34,3.13.6,3.0.5,2,AMD EPYC 7542 32-Core Processor,1,1 x NVIDIA A100 80GB PCIe,13.7747,45.6482,21.3,machine,N,1.0
